#,Story (Day/Story),Narrator,Locations
28,"Day 03, 9",Neifile,Narbonne
81,"Day 09, 2",Elissa,Lombardy
82,"Day 09, 3",Filostrato,Florence
83,"Day 09, 4",Neifile,Siena
85,"Day 09, 6",Panfilo,Florence
57,"Day 06, 8",,Florence
8,"Day 01, 9",Elissa,La Gascogne (France)
37,"Day 04, 8",Neifile,Paris
92,"Day 10, 3",Filostrato,China
68,"Day 07, 9",Panfilo,Argos (Greece)
45,"Day 05, 6",Pampinea,Minerva (Italy)
84,"Day 09, 5",Fiammetta,Camerata (Italy)
87,"Day 09, 8",Lauretta,Florence
100,"0, intro",-,Basilica di Santa Maria Novella
100,"0, intro",-,Hotel Miverva (Florence)
100,"0, intro",-,Ospedale Santa Maria Nuova
2,"Day 01, 3",Filomena,Alexandria
2,"Day 01, 3",Filomena,Babylon
1,"Day 01, 1",Panfilo,Paris
1,"Day 01, 2",Neifile,Rome
1,"Day 01, 2",Neifile,Paris
10,"Day 02, 1",Neifile,Treviso
10,"Day 02, 1",Neifile,Florence
11,"Day 02, 2",Filostrato,Bologna
12,"Day 02, 3",Pampinea,�Bruges
12,"Day 02, 3",Pampinea,London
12,"Day 02, 3",Pampinea,Scotland
12,"Day 02, 3",Pampinea,Florence
15,"Day 02, 6",Emilia,Naples
15,"Day 02, 6",Emilia,�Genoa
15,"Day 02, 6",Emilia,�Ponza
15,"Day 02, 6",Emilia,�Magra River
14,"Day 02, 5",Fiammetta,Perugia
14,"Day 02, 5",Fiammetta,�Palermo
13,"Day 02, 4",Lauretta,�Brindisi
14,"Day 02, 5",Fiammetta,�Naples
14,"Day 02, 5",Fiammetta,Sicilia
16,"Day 02, 7",Panfilo,Baffa
12,"Day 02, 3",Pampinea,Toscana
14,"Day 02, 5",Fiammetta,Malpertugio
16,"Day 02, 7",Panfilo,Armenia
1,"Day 01, 1",Panfilo,Cathedrale Notre-Dame de Paris
8,"Day 01, 9",Elissa,Jerusalem
11,"Day 02, 2",Filostrato,Verona
30,"Day 04, intro",-,Florence
